,id,index,song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket
0,159317,159317,['GN0901'],20200228,Confidant,10384661,[2731448],Confidant,['GN0900'],['BabyJake']
1,368264,368264,"['GN0908', 'GN0901']",20200218,How To Love (feat. GRAY),10388900,[2854781],How To Love (feat. GRAY),['GN0900'],['ALLY']
2,368264,368264,"['GN0908', 'GN0901']",20200218,How To Love (feat. GRAY),10388900,[2854781],How To Love (feat. GRAY),['GN0900'],['ALLY']
3,600999,600999,"['GN0908', 'GN0901']",20200220,Say It Again,10390827,[2742725],Say It Again,['GN0900'],['Jimmy Smash']
4,274905,274905,"['GN0908', 'GN0901']",20200220,Another Life,10390880,[1134287],Another Life (Feat. Destiny Rogers),['GN0900'],['Alex Aiono']
5,643023,643023,"['GN0908', 'GN0901']",20200221,6 Months,10391183,[2640909],6 months,['GN0900'],['John K']
6,643023,643023,"['GN0908', 'GN0901']",20200221,6 Months,10391183,[2640909],6 months,['GN0900'],['John K']
7,240703,240703,"['GN0908', 'GN0901']",20200221,Phobias,10391225,[982634],Phobias,['GN0900'],['Johnny Orlando']
8,452196,452196,"['GN0908', 'GN0901']",20200221,Old Me,10391261,[765084],Old Me,['GN0900'],['5 Seconds Of Summer']
9,452196,452196,"['GN0908', 'GN0901']",20200221,Old Me,10391261,[765084],Old Me,['GN0900'],['5 Seconds Of Summer']
10,424328,424328,"['GN0908', 'GN0901', 'GN0902']",20200221,Dancing Next To Me,10391343,[637391],Dancing Next To Me,['GN0900'],['Greyson Chance']
11,424328,424328,"['GN0908', 'GN0901', 'GN0902']",20200221,Dancing Next To Me,10391343,[637391],Dancing Next To Me,['GN0900'],['Greyson Chance']
12,380410,380410,"['GN0908', 'GN0901']",20200221,~how i&#39;m feeling~,10337847,[1956543],Modern Loneliness,['GN0900'],['Lauv']
13,280877,280877,"['GN0908', 'GN0901']",20200224,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",10393249,[2735716],"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",['GN0900'],['100 Gecs']
14,248200,248200,"['GN0908', 'GN0901']",20200228,not ur friend,10394478,[1758307],not ur friend,['GN0900'],['Jeremy Zucker']
15,204192,204192,"['GN0908', 'GN0901']",20200228,Horizons,10394602,[2645680],Good Day,['GN0900'],['Surfaces']
16,260161,260161,"['GN0908', 'GN0901']",20200228,I Do,10394960,"[860384, 945771]",I Do,['GN0900'],"['Astrid S', 'Brett Young']"
17,248316,248316,"['GN0908', 'GN0901']",20200228,Love Don&#39;t Cost A Thang,10395163,"[961353, 895129]",Love Don&#39;t Cost A Thang (Feat. Lemaitre),['GN0900'],"['Maty Noyes', 'Franke']"
18,520177,520177,"['GN0908', 'GN0901']",20200228,u know it&#39;s real,10395195,[2755664],U Know It&#39;s Real,['GN0900'],['Ant Saunders']
19,388089,388089,"['GN0908', 'GN0901']",20200228,Nobody&#39;s Lover (feat. Lord Siva),10395276,[837357],Nobody&#39;s Lover (feat. Lord Siva),['GN0900'],['Clara']
20,409625,409625,['GN0901'],20200228,VCR,10395299,[1628315],VCR,['GN0900'],['M.I.L.K.']
21,274719,274719,"['GN0908', 'GN0901']",20200228,Don&#39;t Believe In Love,10395342,[41359],Don&#39;t Believe In Love,['GN0900'],['Sheppard']
