,Unnamed: 0,id,index,song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,img_url
0,0,159317,159317,['GN0901'],20200228,Confidant,10384661,[2731448],Confidant,['GN0900'],['BabyJake'],https://musicmeta-phinf.pstatic.net/album/004/437/4437849.jpg?type=r360Fll&v=20200228121242
1,1,368264,368264,"['GN0908', 'GN0901']",20200218,How To Love (feat. GRAY),10388900,[2854781],How To Love (feat. GRAY),['GN0900'],['ALLY'],https://musicmeta-phinf.pstatic.net/album/004/448/4448726.jpg?type=r360Fll&v=20200219104804
3,3,600999,600999,"['GN0908', 'GN0901']",20200220,Say It Again,10390827,[2742725],Say It Again,['GN0900'],['Jimmy Smash'],https://musicmeta-phinf.pstatic.net/album/003/405/3405899.jpg?type=r360Fll&v=20191108120904
4,4,274905,274905,"['GN0908', 'GN0901']",20200220,Another Life,10390880,[1134287],Another Life (Feat. Destiny Rogers),['GN0900'],['Alex Aiono'],https://musicmeta-phinf.pstatic.net/album/004/451/4451708.jpg?type=r360Fll&v=20200220115920
5,5,643023,643023,"['GN0908', 'GN0901']",20200221,6 Months,10391183,[2640909],6 months,['GN0900'],['John K'],https://musicmeta-phinf.pstatic.net/album/004/452/4452263.jpg?type=r360Fll&v=20200221115934
7,7,240703,240703,"['GN0908', 'GN0901']",20200221,Phobias,10391225,[982634],Phobias,['GN0900'],['Johnny Orlando'],https://musicmeta-phinf.pstatic.net/album/004/452/4452036.jpg?type=r360Fll&v=20200221000009
8,8,452196,452196,"['GN0908', 'GN0901']",20200221,Old Me,10391261,[765084],Old Me,['GN0900'],['5 Seconds Of Summer'],https://musicmeta-phinf.pstatic.net/album/004/452/4452106.jpg?type=r360Fll&v=20200221121219
10,10,424328,424328,"['GN0908', 'GN0901', 'GN0902']",20200221,Dancing Next To Me,10391343,[637391],Dancing Next To Me,['GN0900'],['Greyson Chance'],https://musicmeta-phinf.pstatic.net/album/004/453/4453221.jpg?type=r360Fll&v=20200221123907
12,12,380410,380410,"['GN0908', 'GN0901']",20200221,~how i&#39;m feeling~,10337847,[1956543],Modern Loneliness,['GN0900'],['Lauv'],https://musicmeta-phinf.pstatic.net/album/002/486/2486021.jpg?type=r360Fll&v=20200219214716
13,13,280877,280877,"['GN0908', 'GN0901']",20200224,"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",10393249,[2735716],"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",['GN0900'],['100 Gecs'],https://musicmeta-phinf.pstatic.net/album/004/457/4457356.jpg?type=r360Fll&v=20200227141804
14,14,248200,248200,"['GN0908', 'GN0901']",20200228,not ur friend,10394478,[1758307],not ur friend,['GN0900'],['Jeremy Zucker'],https://musicmeta-phinf.pstatic.net/album/004/521/4521277.jpg?type=r360Fll&v=20200515023107
15,15,204192,204192,"['GN0908', 'GN0901']",20200228,Horizons,10394602,[2645680],Good Day,['GN0900'],['Surfaces'],https://musicmeta-phinf.pstatic.net/album/004/465/4465068.jpg?type=r360Fll&v=20200227235915
16,16,260161,260161,"['GN0908', 'GN0901']",20200228,I Do,10394960,"[860384, 945771]",I Do,['GN0900'],"['Astrid S', 'Brett Young']",https://musicmeta-phinf.pstatic.net/album/002/523/2523474.jpg?type=r360Fll&v=20200226015207
17,17,248316,248316,"['GN0908', 'GN0901']",20200228,Love Don&#39;t Cost A Thang,10395163,"[961353, 895129]",Love Don&#39;t Cost A Thang (Feat. Lemaitre),['GN0900'],"['Maty Noyes', 'Franke']",https://musicmeta-phinf.pstatic.net/album/002/702/2702518.jpg?type=r360Fll&v=20181214120354
